City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kavaratti,10.57,72.64,29.79,74,100,10.75,IN,1592095101
Geraldton,-28.77,114.6,11.0,87,46,4.1,AU,1592095086
La Rioja,42.25,-2.5,13.0,87,88,0.5,ES,1592095224
Bagotville,-28.98,153.42,23.0,78,75,5.7,AU,1592095224
Thinadhoo,0.53,72.93,29.26,69,77,7.82,MV,1592095224
Sibolga,1.74,98.78,27.6,74,52,0.49,ID,1592095224
Bathsheba,13.22,-59.52,28.0,65,40,7.7,BB,1592095084
Yatou,37.15,122.38,25.4,68,100,4.92,CN,1592095224
Locri,38.24,16.26,22.22,47,0,8.49,IT,1592095224
Wanning,18.8,110.4,25.14,93,100,2.66,CN,1592095116
Ambon City,-3.7,128.18,26.0,94,40,3.1,ID,1592095224
Sola,-13.88,167.55,29.0,74,90,5.1,VU,1592095097
Aklavik,68.22,-135.01,24.0,25,75,3.1,CA,1592095119
Maumere,-8.62,122.21,28.14,70,8,2.14,ID,1592095225
Maragogi,-9.01,-35.22,25.73,87,100,6.55,BR,1592095225
Bonfim,3.08,-59.95,26.07,80,100,1.87,BR,1592095225
Kauhajoki,62.43,22.18,11.67,87,0,1.5,FI,1592095225
Georgiyevka,43.04,74.71,19.0,42,0,4.0,KZ,1592095225
Yangi Marg`ilon,40.43,71.72,21.0,37,0,4.1,UZ,1592095099
Vila Velha,-20.33,-40.29,24.0,83,0,2.1,BR,1592095088
Roald,62.58,6.13,15.56,82,100,2.1,NO,1592095105
Mapiri,-15.25,-68.17,19.31,90,99,0.2,BO,1592095225
San Jose,37.34,-121.89,22.78,37,20,7.2,US,1592095214
Rincon,32.3,-81.24,27.0,61,40,4.6,US,1592094930
Kokoda,-8.88,147.74,30.4,49,0,2.3,PG,1592095225
Sungai Penuh,-2.08,101.38,21.29,77,91,1.03,ID,1592095225
Mount Gambier,-37.83,140.77,10.0,93,75,6.2,AU,1592095093
Rome,43.21,-75.46,13.0,54,90,1.0,US,1592095082
Inhambane,-23.86,35.38,16.64,76,39,3.48,MZ,1592095226
Port Keats,-14.25,129.55,30.38,30,0,5.09,AU,1592095226
Beringovskiy,63.05,179.32,8.35,68,0,3.96,RU,1592095111
Port Blair,11.67,92.75,28.65,81,100,5.91,IN,1592095112
Leningradskiy,69.38,178.42,14.76,52,73,1.11,RU,1592095099
Mogadishu,2.04,45.34,25.91,78,31,8.35,SO,1592095226
Araguaína,-7.19,-48.21,23.92,64,0,1.23,BR,1592095226
Scarborough,54.28,-0.4,13.33,95,1,1.1,GB,1592095226
Zavitinsk,50.12,129.45,14.26,85,100,5.23,RU,1592095226
Menongue,-14.66,17.69,8.52,62,0,1.73,AO,1592095103
Guerrero Negro,27.98,-114.06,20.44,66,0,10.29,MX,1592095112
Iwanai,42.97,140.51,26.18,52,100,0.24,JP,1592095145
Dapaong,10.86,0.2,27.39,60,34,2.48,TG,1592095227
Kimbe,-5.55,150.14,32.36,56,73,1.45,PG,1592095227
Arman',59.7,150.17,15.31,56,0,3.36,RU,1592095227
Port Hedland,-20.32,118.57,23.0,53,3,4.6,AU,1592095109
Baykit,61.67,96.37,13.93,89,100,1.77,RU,1592095095
Paciran,-6.88,112.38,24.75,90,100,2.18,ID,1592095227
Matagami,49.75,-77.63,13.0,43,1,2.1,CA,1592095100
Ust'-Ishim,57.69,71.17,8.55,74,54,4.98,RU,1592095227
San Miguel de Cozumel,20.51,-86.95,26.67,94,75,3.0,MX,1592094977
Abu Samrah,35.3,37.18,18.42,43,0,1.57,SY,1592095227
Rapid Valley,44.06,-103.15,29.44,32,1,9.3,US,1592095227
Bose,45.46,8.01,15.0,90,100,1.51,IT,1592095228
Constitución,-35.33,-72.42,9.29,58,0,2.86,CL,1592095104
Madaoua,14.07,5.96,32.88,34,18,2.99,NE,1592095228
Snåase,64.25,12.38,15.56,55,5,1.48,NO,1592095228
Kununurra,-15.77,128.73,26.0,22,0,2.1,AU,1592095108
Casablanca,33.59,-7.62,20.56,77,0,2.6,MA,1592095228
Arrondissement d'Ajaccio,42.0,8.92,15.0,87,25,2.6,FR,1592095107
Sri Aman,1.24,111.46,24.0,94,75,2.6,MY,1592095228
Kushmurun,52.45,64.63,11.01,56,14,6.17,KZ,1592095228
Eirunepé,-6.66,-69.87,23.97,89,18,0.76,BR,1592095228
São Filipe,14.9,-24.5,24.45,81,80,4.18,CV,1592095088
Lazurne,46.08,32.53,19.06,85,4,4.28,UA,1592095228
Oodweyne,9.41,45.06,22.01,64,100,5.97,SO,1592095228
Meitingen,48.55,10.85,16.67,87,100,5.7,DE,1592095228
Katobu,-4.94,122.53,27.64,79,19,2.57,ID,1592095109
Atbasar,51.8,68.33,10.66,52,0,7.03,KZ,1592095229
Portland,45.52,-122.68,16.11,72,75,2.6,US,1592095081
Salalah,17.02,54.09,29.0,89,40,1.5,OM,1592095229
Indian Head,38.6,-77.16,24.0,49,1,1.52,US,1592095229
Avera,33.19,-82.53,28.0,48,40,3.1,US,1592095085
Beipiao,41.79,120.78,25.09,26,0,8.34,CN,1592095229
Lata,40.16,-8.33,16.11,88,78,0.42,PT,1592095108
Moncton,46.12,-64.8,16.11,67,75,6.7,CA,1592095178
Poso,-1.4,120.75,29.63,59,6,0.45,ID,1592095229
Raymond,43.9,-70.47,14.44,59,99,2.26,US,1592095229
Mehamn,71.04,27.85,11.7,57,100,2.44,NO,1592095229
Rach Gia,10.02,105.08,27.0,94,40,2.1,VN,1592095229
Grafton,42.21,-71.69,17.22,44,75,5.1,US,1592095158
Tucuruí,-3.77,-49.67,24.72,78,78,2.01,BR,1592095230
Nakusp,50.25,-117.8,11.67,93,100,0.89,CA,1592095230
Hirara,24.8,125.28,30.0,79,40,7.2,JP,1592095145
Anūpgarh,29.19,73.21,35.2,26,0,2.87,IN,1592095230
Bilma,18.69,12.92,31.8,18,0,0.96,NE,1592095121
Aksu,41.12,80.26,22.04,35,0,1.34,CN,1592095120
Mkushi,-13.62,29.39,13.18,83,100,4.28,ZM,1592095230
Comodoro Rivadavia,-45.87,-67.5,5.0,59,100,2.6,AR,1592095081
Grand Gaube,-20.01,57.66,21.11,89,3,1.34,MU,1592095099
Raudeberg,61.99,5.14,16.11,75,62,2.85,NO,1592095230
Kyra,49.58,111.98,18.7,45,98,3.69,RU,1592095230
Grande Prairie,55.17,-118.8,16.0,55,90,4.1,CA,1592095230
Marsabit,2.33,37.99,16.54,92,86,8.38,KE,1592095117
Canatlán,24.52,-104.78,26.67,24,79,4.02,MX,1592095231
Nome,64.5,-165.41,20.0,48,20,6.2,US,1592095087
Lamar,33.67,-95.58,32.0,40,1,3.1,US,1592095231
Ajdabiya,30.76,20.23,21.3,39,0,2.86,LY,1592095097
Huarmey,-10.07,-78.15,17.13,86,7,3.36,PE,1592095231
Paamiut,61.99,-49.67,3.57,95,100,9.54,GL,1592094821
Khani,41.96,42.96,20.0,88,75,1.5,GE,1592095231
Tiarei,-17.53,-149.33,30.0,70,20,4.1,PF,1592095231
Amapá,1.0,-52.0,22.74,98,100,1.03,BR,1592095231
Shepsi,44.04,39.15,19.42,80,6,2.08,RU,1592095231
Sobolevo,54.43,31.9,10.47,95,100,6.21,RU,1592095231
Port Hawkesbury,45.62,-61.35,14.0,93,90,2.24,CA,1592095231
Vestmannaeyjar,63.44,-20.27,7.92,80,21,4.52,IS,1592095105
Zhenlai,45.85,123.3,22.37,42,0,9.74,CN,1592095232
Aitape,-3.14,142.35,30.6,62,3,1.22,PG,1592095232
Kyren,51.68,102.14,21.29,38,0,0.46,RU,1592095232
Sidi Ali,36.1,0.42,17.2,69,67,1.3,DZ,1592095232
Jalgaon,21.02,75.57,27.47,79,98,3.36,IN,1592095232
Noshiro,40.2,140.02,22.0,78,75,1.0,JP,1592095145
Porto Santo,33.07,-16.34,19.0,88,40,2.1,PT,1592095126
Scottsbluff,41.87,-103.67,32.0,29,1,8.2,US,1592095090
Grindavik,63.84,-22.43,8.0,81,90,3.6,IS,1592095120
Marrakesh,31.63,-8.01,20.0,68,75,3.1,MA,1592095117
Vardø,70.37,31.11,8.49,70,100,3.56,NO,1592095123
Vaţa de Jos,46.18,22.6,16.22,91,9,0.21,RO,1592095233
Moyale,3.52,39.06,18.41,90,100,3.76,KE,1592095233
Son La,21.32,103.9,24.87,86,100,0.43,VN,1592095233
Pisco,-13.7,-76.22,18.0,82,90,3.6,PE,1592095118
Kushiro,42.98,144.37,22.0,64,40,3.6,JP,1592095233
Mombetsu,44.35,143.35,24.0,50,40,3.1,JP,1592095233
Athabasca,54.72,-113.29,19.0,90,100,7.47,CA,1592095233
Simao,22.79,100.97,22.31,86,100,0.75,CN,1592095233
Taoudenni,22.68,-3.98,37.17,13,0,8.13,ML,1592095233
Lokosovo,61.13,74.82,6.15,91,100,7.08,RU,1592095233
Ternovka,51.68,41.64,14.96,92,100,7.9,RU,1592095233
Chakwal,32.93,72.86,26.0,41,20,5.1,PK,1592095233
Natal,-5.79,-35.21,24.0,94,20,1.5,BR,1592095223
Alyangula,-13.85,136.42,27.0,69,90,2.6,AU,1592095234
Wawa,9.9,4.42,25.56,81,85,1.66,NG,1592095234
Hambantota,6.12,81.12,27.49,78,0,7.53,LK,1592095085
Hanting,36.77,119.21,27.73,59,52,7.36,CN,1592095115
Idenao,4.25,9.0,25.67,82,100,1.97,CM,1592095234
Rājpīpla,21.87,73.5,26.0,83,75,4.72,IN,1592095234
San José de Gracia,20.67,-102.58,24.34,22,0,0.75,MX,1592095234
Belém,-1.46,-48.5,25.0,94,99,1.5,BR,1592095213
Antalaha,-14.9,50.28,20.11,81,77,4.25,MG,1592095234
Coolum Beach,-26.53,153.1,25.0,81,97,3.58,AU,1592094964
Banda Aceh,5.56,95.32,27.98,76,65,2.62,ID,1592095123
Moranbah,-22.0,148.05,25.3,64,0,1.64,AU,1592095235
Buin,-33.73,-70.75,9.0,87,4,1.0,CL,1592095235
Lufilufi,-13.87,-171.6,25.0,94,90,4.1,WS,1592095235
Dauriya,49.93,116.87,18.93,33,9,7.23,RU,1592095235
Ontario,34.06,-117.65,27.0,39,20,7.2,US,1592095149
Safi,32.3,-9.24,20.08,78,2,2.37,MA,1592095235
Taltal,-25.4,-70.48,14.59,72,21,1.27,CL,1592095107
Bassila,9.01,1.67,22.6,85,31,1.5,BJ,1592095235
Slavyanka,42.86,131.38,17.59,92,91,2.99,RU,1592095235
Uddevalla,58.35,11.94,15.0,58,41,2.1,SE,1592095235
Moose Factory,51.26,-80.61,12.0,46,1,4.1,CA,1592095113
Lotoshino,56.23,35.64,9.13,93,100,5.12,RU,1592095235
Chicama,-7.84,-79.15,18.15,79,30,2.35,PE,1592095091
Whitefish,48.41,-114.34,14.44,87,90,7.7,US,1592095235
Tahe,52.33,124.73,11.42,96,100,2.23,CN,1592095112
Royan,45.63,-1.03,15.0,93,96,3.6,FR,1592095236
Fairbanks,64.84,-147.72,25.56,33,1,3.1,US,1592094838
Swan River,52.11,-101.27,19.77,68,100,4.41,CA,1592095236
Port Montt,-41.47,-72.94,8.0,75,90,6.2,CL,1592095236
San Policarpo,12.18,125.51,28.74,83,100,4.33,PH,1592095236
Mackay,-21.15,149.2,25.0,83,2,4.6,AU,1592095236
Bunia,1.57,30.25,16.85,95,100,1.08,CD,1592095236
Zhalantun,48.0,122.72,20.51,43,0,7.89,CN,1592095236
Tsimmerbude,54.67,20.13,15.0,72,0,5.0,RU,1592095236
Birjand,32.87,59.22,23.0,13,0,6.2,IR,1592095236
Pimenta Bueno,-11.67,-61.19,23.18,90,29,0.65,BR,1592095191
Sørland,67.67,12.69,11.0,93,100,1.0,NO,1592095237
Esim,4.87,-2.24,25.38,88,86,3.06,GH,1592095086
Caravelas,-17.71,-39.25,22.02,89,0,1.69,BR,1592095097
Bambous Virieux,-20.34,57.76,22.0,94,75,1.5,MU,1592095102
Heraclea,37.51,34.05,15.67,53,84,0.58,TR,1592095237
Korsakov,46.63,142.78,16.0,59,40,3.0,RU,1592095237
Shimizu,43.01,142.88,25.0,47,75,1.0,JP,1592095237
Nuuk,64.18,-51.72,4.0,80,100,13.4,GL,1592095237
Lāsalgaon,20.15,74.23,24.28,87,100,3.4,IN,1592095237
Angoche,-16.23,39.91,21.79,84,7,5.77,MZ,1592095124
Taft,31.75,54.21,25.0,15,0,1.0,IR,1592095237
Leshukonskoye,64.9,45.76,10.23,71,64,3.5,RU,1592095237
Viedma,-40.81,-63.0,5.82,62,40,3.7,AR,1592095112
Breves,-1.68,-50.48,23.99,94,99,1.74,BR,1592095237
Sawtell,-30.38,153.1,19.0,88,75,0.5,AU,1592095238
Kavieng,-2.57,150.8,29.97,68,27,4.18,PG,1592095238
Asău,46.43,26.4,17.22,84,30,2.25,RO,1592095117
Port Augusta,-32.5,137.77,12.0,81,0,6.2,AU,1592095125
Radovitskiy,55.13,39.8,10.56,83,100,1.79,RU,1592095238
Abilene,32.45,-99.73,34.0,22,1,5.7,US,1592095197
Rocha,-34.48,-54.33,6.11,64,46,4.16,UY,1592095166
Trat,12.5,102.5,28.29,85,8,3.49,TH,1592095238
Imbituba,-28.24,-48.67,18.0,59,75,3.6,BR,1592095089
Šibenik,43.73,15.91,21.0,64,56,2.6,HR,1592095238
Aldan,58.6,125.39,12.11,83,100,1.59,RU,1592095238
Enzan,35.7,138.73,22.78,94,100,1.58,JP,1592095239
Belaya Gora,68.53,146.42,24.67,31,0,0.12,RU,1592095118
Salinas,36.68,-121.66,20.0,45,1,7.7,US,1592095239
Saint Lawrence,36.06,14.2,22.22,64,0,2.6,MT,1592095239
Impfondo,1.64,18.07,21.88,93,100,0.27,CG,1592095239
Rosetta,31.4,30.42,20.63,81,0,3.26,EG,1592095239
Tautira,-17.73,-149.15,30.0,70,20,4.1,PF,1592095239
Aquiraz,-3.9,-38.39,27.0,78,40,3.1,BR,1592095239
Tura,25.52,90.22,24.62,93,99,1.44,IN,1592095239
Lalupon,7.47,4.07,23.02,96,100,1.08,NG,1592095239
Ankang,32.68,109.02,24.44,34,100,2.24,CN,1592095144
Viranşehir,37.24,39.76,19.78,36,0,1.53,TR,1592095239
Arrifes,37.77,-25.7,14.0,76,20,3.1,PT,1592095239
Svetlaya,46.54,138.33,12.77,70,72,2.43,RU,1592095239
Hanna,51.63,-111.9,24.44,61,4,4.02,CA,1592095240
Gulfport,30.37,-89.09,28.0,74,90,2.6,US,1592095200
Byron Bay,-28.65,153.62,23.0,78,75,5.7,AU,1592095240
Paita,-5.09,-81.11,18.32,83,0,5.39,PE,1592095106
Boundiali,9.52,-6.49,23.84,82,0,3.95,CI,1592095240
Moultonborough,43.75,-71.4,14.0,50,40,2.1,US,1592095240
Coahuayana Viejo,18.73,-103.68,27.0,65,75,5.1,MX,1592095119
Chitipa,-9.7,33.27,11.9,86,0,2.29,MW,1592095240
Isabela,6.71,121.97,27.0,88,75,2.1,PH,1592095240
Paso de Carrasco,-34.86,-56.05,10.0,48,0,4.1,UY,1592095240
Chu,43.6,73.76,19.13,39,0,3.63,KZ,1592095240
Chifeng,42.27,118.96,22.61,30,0,8.37,CN,1592095118
Nadvoitsy,63.87,34.32,11.61,77,0,3.28,RU,1592095240
Agüimes,27.91,-15.45,20.0,72,20,3.6,ES,1592095241
Puerto del Rosario,28.5,-13.86,22.0,73,12,4.6,ES,1592095241
Domoni,-12.26,44.53,24.57,72,87,6.4,KM,1592095241
Hualmay,-11.1,-77.61,17.04,85,16,3.24,PE,1592095109
Mochicahui,25.93,-108.93,33.0,41,5,7.2,MX,1592095241
Poya,-21.35,165.15,25.71,60,2,3.2,NC,1592095241
Port Hardy,50.7,-127.42,15.0,67,20,7.2,CA,1592095104
Suriāpet,17.15,79.62,27.6,71,100,4.23,IN,1592095241
Boueni,-12.9,45.08,26.0,74,75,8.2,YT,1592095241
Lamesa,32.74,-101.95,33.33,16,75,9.8,US,1592095241
Severo-Yeniseyskiy,60.37,93.04,15.24,91,100,3.89,RU,1592095241
Kutum,14.2,24.67,22.02,22,0,0.78,SD,1592095241
Saint-Augustin,51.23,-58.65,10.68,62,87,6.93,CA,1592095241
Caucaia,-3.74,-38.65,27.0,78,40,3.1,BR,1592095241
Santiago,-33.46,-70.65,9.0,87,0,1.0,CL,1592095045
Balabac,7.99,117.06,28.84,73,84,3.8,PH,1592095242
Rio Grande City,26.38,-98.82,31.11,53,0,0.89,US,1592095242
Saint Anthony,45.02,-93.22,21.11,43,75,6.7,US,1592094882
Jinotega,13.09,-86.0,19.38,99,100,1.27,NI,1592095242
Camacha,33.08,-16.33,19.0,88,40,2.1,PT,1592095101
Santiago del Estero,-27.8,-64.26,11.88,40,0,3.74,AR,1592095242
Lago da Pedra,-4.33,-45.17,23.74,81,100,1.84,BR,1592095242
Levin,-40.63,175.28,12.22,64,0,1.13,NZ,1592095187
Black River,18.03,-77.85,27.22,88,40,1.5,JM,1592095242
Margate,51.38,1.39,14.44,87,0,0.45,GB,1592095032
Honningsvåg,70.98,25.97,10.59,66,98,2.87,NO,1592095243
Manokwari,-0.87,134.08,29.17,69,53,4.76,ID,1592095243
Albacete,38.83,-2.0,13.0,62,100,2.6,ES,1592095243
Poum,-20.23,164.02,24.09,75,1,6.62,NC,1592095110
San-Pédro,4.75,-6.64,24.42,93,100,4.22,CI,1592095243
Manali,13.17,80.27,30.0,62,40,2.6,IN,1592095243
Billings Metropolitan Area,45.78,-108.5,35.0,10,40,4.6,US,1592095050
Doha,25.29,51.53,34.0,32,0,8.2,QA,1592095084
Shinpokh,34.33,71.18,25.0,50,20,2.1,PK,1592095243
Valea Mare,44.47,24.43,19.0,82,56,3.1,RO,1592095243
Omsukchan,62.53,155.8,18.89,34,100,1.21,RU,1592095089
Orlovskiy,46.87,42.06,19.05,91,0,2.41,RU,1592095243
Hervey Bay,-25.3,152.85,25.0,82,80,1.79,AU,1592095243
Mitsamiouli,-11.38,43.28,25.59,68,0,5.71,KM,1592095244
Santa Isabel Rio Negro,-0.41,-65.02,23.96,96,98,0.98,BR,1592095244
Broken Hill,-31.95,141.43,11.0,76,0,5.7,AU,1592095127
Mount Darwin,-16.77,31.58,12.61,87,64,1.34,ZW,1592095244
Ellisras,-23.66,27.74,5.58,60,0,2.2,ZA,1592095244
Beloha,-25.17,45.05,13.79,79,0,2.56,MG,1592095244
Porto Nacional,-10.71,-48.42,24.0,73,14,3.6,BR,1592095244
Kungurtug,50.6,97.52,19.34,39,0,0.51,RU,1592095244
Kirakira,-10.45,161.92,29.46,73,12,4.65,SB,1592095087
Sandwick,60.0,-1.25,11.0,93,27,3.6,GB,1592095244
Hōfu,34.05,131.57,27.0,78,75,8.2,JP,1592095244
Ixtapa,20.7,-105.2,30.0,51,40,6.2,MX,1592095117
Seminole,28.71,-81.21,27.22,69,1,3.1,US,1592095227
Sørkjosen,69.8,20.93,14.1,58,27,1.7,NO,1592095244
Xiangfan,32.04,112.14,28.59,53,100,3.24,CN,1592095244
Muli,2.92,73.57,29.22,72,100,5.54,MV,1592095244
Zyryanka,65.75,150.85,24.73,30,0,3.04,RU,1592095245
Pandharpur,17.67,75.33,25.34,83,100,3.15,IN,1592095245
Saldanha,-33.01,17.94,11.7,52,0,2.61,ZA,1592095100
Suntar,62.14,117.63,15.21,59,6,3.3,RU,1592095245
Praia,14.92,-23.51,26.0,83,40,4.1,CV,1592095245
Jaguarari,-10.26,-40.2,19.35,94,84,4.05,BR,1592095245
Ust'-Ilimsk,58.0,102.66,19.62,77,67,3.96,RU,1592095245
